id,prefecture_id,prefecture_en,prefecture_ja
01000,01,Hokkaido,北海道
02000,02,Aomori Prefecture,青森県
03000,03,Iwate Prefecture,岩手県
04000,04,Miyagi Prefecture,宮城県
05000,05,Akita Prefecture,秋田県
06000,06,Yamagata Prefecture,山形県
07000,07,Fukushima Prefecture,福島県
08000,08,Ibaraki Prefecture,茨城県
09000,09,Tochigi Prefecture,栃木県
10000,10,Gunma Prefecture,群馬県
11000,11,Saitama Prefecture,埼玉県
12000,12,Chiba Prefecture,千葉県
13000,13,Tokyo,東京都
14000,14,Kanagawa Prefecture,神奈川県
15000,15,Niigata Prefecture,新潟県
16000,16,Toyama Prefecture,富山県
17000,17,Ishikawa Prefecture,石川県
18000,18,Fukui Prefecture,福井県
19000,19,Yamanashi Prefecture,山梨県
20000,20,Nagano Prefecture,長野県
21000,21,Gifu Prefecture,岐阜県
22000,22,Shizuoka Prefecture,静岡県
23000,23,Aichi Prefecture,愛知県
24000,24,Mie Prefecture,三重県
25000,25,Shiga Prefecture,滋賀県
26000,26,Kyoto Prefecture,京都府
27000,27,Osaka Prefecture,大阪府
28000,28,Hyōgo Prefecture,兵庫県
29000,29,Nara Prefecture,奈良県
30000,30,Wakayama Prefecture,和歌山県
31000,31,Tottori Prefecture,鳥取県
32000,32,Shimane Prefecture,島根県
33000,33,Okayama Prefecture,岡山県
34000,34,Hiroshima Prefecture,広島県
35000,35,Yamaguchi Prefecture,山口県
36000,36,Tokushima Prefecture,徳島県
37000,37,Kagawa Prefecture,香川県
38000,38,Ehime Prefecture,愛媛県
39000,39,Kōchi Prefecture,高知県
40000,40,Fukuoka Prefecture,福岡県
41000,41,Saga Prefecture,佐賀県
42000,42,Nagasaki Prefecture,長崎県
43000,43,Kumamoto Prefecture,熊本県
44000,44,Ōita Prefecture,大分県
45000,45,Miyazaki Prefecture,宮崎県
46000,46,Kagoshima Prefecture,鹿児島県
47000,47,Okinawa Prefecture,沖縄県
